Word,Rank,Raw Frequency,Raw Range, Normalized Frequency, Normalized Range
1960s,4746,8,8,11.75,0.02
download,4746,8,6,11.75,0.02
circulation,4746,8,8,11.75,0.02
proportional,4746,8,8,11.75,0.02
sampling,4746,8,7,11.75,0.02
pushed,4746,8,8,11.75,0.02
predictor,4746,8,8,11.75,0.02
adequacy,4746,8,4,11.75,0.01
insist,4746,8,8,11.75,0.02
east,4746,8,8,11.75,0.02
asian,4746,8,8,11.75,0.02
instrumental,4746,8,8,11.75,0.02
exogenous,4746,8,7,11.75,0.02
marriages,4746,8,3,11.75,0.01
divorce,4746,8,6,11.75,0.02
incomes,4746,8,7,11.75,0.02
54,4746,8,8,11.75,0.02
44,4746,8,8,11.75,0.02
initiate,4746,8,8,11.75,0.02
eviews,4746,8,8,11.75,0.02
squared,4746,8,5,11.75,0.01
cherkasova,4746,8,4,11.75,0.01
liabilities,4746,8,6,11.75,0.02
tobin,4746,8,4,11.75,0.01
q,4746,8,8,11.75,0.02
unacceptable,4746,8,6,11.75,0.02
revenge,4746,8,1,11.75,0.0
inconsistent,4746,8,7,11.75,0.02
resort,4746,8,8,11.75,0.02
saint,4746,8,5,11.75,0.01
petersburg,4746,8,8,11.75,0.02
station,4746,8,8,11.75,0.02
happening,4746,8,7,11.75,0.02
correlates,4746,8,7,11.75,0.02
steady,4746,8,8,11.75,0.02
repeatedly,4746,8,7,11.75,0.02
renowned,4746,8,8,11.75,0.02
unbiased,4746,8,5,11.75,0.01
interconnections,4746,8,5,11.75,0.01
mouth,4746,8,7,11.75,0.02
slightly,4746,8,8,11.75,0.02
pareto,4746,8,6,11.75,0.02
anyway,4746,8,7,11.75,0.02
shop,4746,8,8,11.75,0.02
1973,4746,8,7,11.75,0.02
radio,4746,8,4,11.75,0.01
controversy,4746,8,7,11.75,0.02
1971,4746,8,6,11.75,0.02
january,4746,8,7,11.75,0.02
drivers,4746,8,6,11.75,0.02
acceptance,4746,8,8,11.75,0.02
attraction,4746,8,6,11.75,0.02
avoided,4746,8,8,11.75,0.02
fourthly,4746,8,8,11.75,0.02
permitted,4746,8,6,11.75,0.02
ex,4746,8,8,11.75,0.02
petitions,4746,8,6,11.75,0.02
bernard,4746,8,3,11.75,0.01
unite,4746,8,8,11.75,0.02
simultaneous,4746,8,8,11.75,0.02
violate,4746,8,8,11.75,0.02
water,4746,8,8,11.75,0.02
driving,4746,8,7,11.75,0.02
newly,4746,8,7,11.75,0.02
discrepancies,4746,8,8,11.75,0.02
pearson,4746,8,4,11.75,0.01
remained,4746,8,8,11.75,0.02
remove,4746,8,8,11.75,0.02
observes,4746,8,8,11.75,0.02
intermediary,4746,8,8,11.75,0.02
lacks,4746,8,8,11.75,0.02
adapting,4746,8,7,11.75,0.02
osterwalder,4746,8,3,11.75,0.01
peters,4746,8,8,11.75,0.02
fighting,4746,8,6,11.75,0.02
manufacturer,4746,8,8,11.75,0.02
36,4746,8,8,11.75,0.02
inconsistency,4746,8,8,11.75,0.02
laboratory,4746,8,6,11.75,0.02
baseball,4746,8,3,11.75,0.01
blogs,4746,8,4,11.75,0.01
llc,4746,8,3,11.75,0.01
india,4746,8,8,11.75,0.02
moderate,4746,8,8,11.75,0.02
scanner,4746,8,2,11.75,0.01
foregrounds,4746,8,7,11.75,0.02
overcoming,4746,8,8,11.75,0.02
consume,4746,8,8,11.75,0.02
hill,4746,8,8,11.75,0.02
olson,4746,8,5,11.75,0.01
firms‚ê,4746,8,6,11.75,0.02
commonalities,4746,8,8,11.75,0.02
intellectuals,4746,8,7,11.75,0.02
subjectivity,4746,8,7,11.75,0.02
1939,4746,8,4,11.75,0.01
star,4746,8,8,11.75,0.02
unresolved,4746,8,8,11.75,0.02
expense,4746,8,8,11.75,0.02
gross,4746,8,8,11.75,0.02
approval,4746,8,8,11.75,0.02
africa,4746,8,8,11.75,0.02
donate,4746,8,5,11.75,0.01
conscious,4746,8,8,11.75,0.02
dormitory,4746,8,1,11.75,0.0
peers,4746,8,3,11.75,0.01
partnerships,4746,8,7,11.75,0.02
spaces,4746,8,6,11.75,0.02
æÒ,4746,8,8,11.75,0.02
miller,4746,8,6,11.75,0.02
severely,4746,8,8,11.75,0.02
hands,4746,8,7,11.75,0.02
krugman,4746,8,1,11.75,0.0
comedy,4746,8,2,11.75,0.01
menander,4746,8,2,11.75,0.01
recreate,4746,8,8,11.75,0.02
plato,4746,8,4,11.75,0.01
monuments,4746,8,5,11.75,0.01
frolov,4746,8,2,11.75,0.01
duty,4746,8,8,11.75,0.02
proclaims,4746,8,7,11.75,0.02
phenomenological,4746,8,5,11.75,0.01
outlook,4746,8,4,11.75,0.01
slavs,4746,8,1,11.75,0.0
oral,4746,8,8,11.75,0.02
elias,4746,8,3,11.75,0.01
stalinist,4746,8,6,11.75,0.02
ignored,4746,8,8,11.75,0.02
complaints,4746,8,8,11.75,0.02
manuscript,4746,8,1,11.75,0.0
birds,4746,8,2,11.75,0.01
rouse,4746,8,8,11.75,0.02
born,4746,8,8,11.75,0.02
parsons,4746,8,3,11.75,0.01
conquest,4746,8,5,11.75,0.01
letter,4746,8,8,11.75,0.02
leisure,4746,8,4,11.75,0.01
dionysus,4746,8,2,11.75,0.01
reformation,4746,8,5,11.75,0.01
rear,4746,8,8,11.75,0.02
humanities,4746,8,5,11.75,0.01
traces,4746,8,4,11.75,0.01
rituals,4746,8,5,11.75,0.01
patron,4746,8,7,11.75,0.02
regularities,4746,8,8,11.75,0.02
cremation,4746,8,1,11.75,0.0
tombs,4746,8,1,11.75,0.0
freud,4746,8,3,11.75,0.01
london,4746,8,6,11.75,0.02
vienna,4746,8,2,11.75,0.01
pierre,4746,8,6,11.75,0.02
merovingian,4746,8,1,11.75,0.0
begun,4746,8,8,11.75,0.02
penalties,4746,8,6,11.75,0.02
solidarity,4746,8,6,11.75,0.02
identities,4746,8,4,11.75,0.01
Òê,4746,8,8,11.75,0.02
daniel,4746,8,4,11.75,0.01
atheistic,4746,8,1,11.75,0.0
ths,4746,8,8,11.75,0.02
cinematic,4746,8,1,11.75,0.0
deduce,4746,8,8,11.75,0.02
finno,4746,8,1,11.75,0.0
authentic,4746,8,8,11.75,0.02
electorate,4746,8,6,11.75,0.02
rakhshmir,4746,8,3,11.75,0.01
legitimate,4746,8,8,11.75,0.02
mentally,4746,8,8,11.75,0.02
inextricably,4746,8,6,11.75,0.02
suppression,4746,8,6,11.75,0.02
baker,4746,8,7,11.75,0.02
penalty,4746,8,6,11.75,0.02
behavioural,4746,8,2,11.75,0.01
liable,4746,8,8,11.75,0.02
declaration,4746,8,8,11.75,0.02
omissions,4746,8,5,11.75,0.01
dispose,4746,8,6,11.75,0.02
colourable,4746,8,1,11.75,0.0
witnesses,4746,8,5,11.75,0.01
providers,4746,8,5,11.75,0.01
advocacy,4746,8,2,11.75,0.01
governors,4746,8,4,11.75,0.01
debatable,4746,8,8,11.75,0.02
fees,4746,8,7,11.75,0.02
author‚ê,4746,8,4,11.75,0.01
lambert,4746,8,4,11.75,0.01
bid,4746,8,8,11.75,0.02
surrogate,4746,8,1,11.75,0.0
appellate,4746,8,1,11.75,0.0
pine,4746,8,7,11.75,0.02
andersen,4746,8,4,11.75,0.01
hammer,4746,8,6,11.75,0.02
overproduction,4746,8,5,11.75,0.01
employees‚ê,4746,8,7,11.75,0.02
boutique,4746,8,1,11.75,0.0
hollensen,4746,8,1,11.75,0.0
paliwoda,4746,8,1,11.75,0.0
catalog,4746,8,5,11.75,0.01
ford,4746,8,8,11.75,0.02
lettuce,4746,8,1,11.75,0.0
constituencies,4746,8,4,11.75,0.01
symphony,4746,8,2,11.75,0.01
achremenko,4746,8,2,11.75,0.01
sophisticated,5090,7,6,10.28,0.02
completing,5090,7,7,10.28,0.02
aggregated,5090,7,7,10.28,0.02
exceptions,5090,7,5,10.28,0.01
integrity,5090,7,7,10.28,0.02
offline,5090,7,5,10.28,0.01
steve,5090,7,7,10.28,0.02
departmental,5090,7,7,10.28,0.02
math,5090,7,7,10.28,0.02
multimedia,5090,7,5,10.28,0.01
psychologists,5090,7,6,10.28,0.02
predetermined,5090,7,7,10.28,0.02
exercises,5090,7,7,10.28,0.02
sends,5090,7,5,10.28,0.01
scripts,5090,7,7,10.28,0.02
runtime,5090,7,6,10.28,0.02
exposition,5090,7,3,10.28,0.01
uniformity,5090,7,7,10.28,0.02
numbering,5090,7,2,10.28,0.01
io,5090,7,7,10.28,0.02
inspection,5090,7,6,10.28,0.02
magazine,5090,7,7,10.28,0.02
saved,5090,7,6,10.28,0.02
accident,5090,7,5,10.28,0.01
weather,5090,7,6,10.28,0.02
domains,5090,7,4,10.28,0.01
lifetime,5090,7,6,10.28,0.02
iterative,5090,7,7,10.28,0.02
sequences,5090,7,7,10.28,0.02
revised,5090,7,7,10.28,0.02
extracting,5090,7,6,10.28,0.02
discovering,5090,7,5,10.28,0.01
configure,5090,7,6,10.28,0.02
dependencies,5090,7,7,10.28,0.02
exceptional,5090,7,7,10.28,0.02
analyst,5090,7,7,10.28,0.02
interactive,5090,7,7,10.28,0.02
filter,5090,7,7,10.28,0.02
svetlana,5090,7,4,10.28,0.01
kumar,5090,7,7,10.28,0.02
contributing,5090,7,7,10.28,0.02
surprising,5090,7,7,10.28,0.02
simon,5090,7,7,10.28,0.02
pr,5090,7,7,10.28,0.02
martin,5090,7,6,10.28,0.02
portal,5090,7,7,10.28,0.02
selective,5090,7,5,10.28,0.01
targets,5090,7,7,10.28,0.02
drop,5090,7,7,10.28,0.02
expressing,5090,7,6,10.28,0.02
validation,5090,7,7,10.28,0.02
linking,5090,7,7,10.28,0.02
app,5090,7,7,10.28,0.02
incremental,5090,7,5,10.28,0.01
truth,5090,7,7,10.28,0.02
leaves,5090,7,7,10.28,0.02
calendar,5090,7,4,10.28,0.01
ages,5090,7,7,10.28,0.02
fresh,5090,7,7,10.28,0.02
universality,5090,7,5,10.28,0.01
designers,5090,7,4,10.28,0.01
disagree,5090,7,7,10.28,0.02
unusual,5090,7,7,10.28,0.02
chances,5090,7,6,10.28,0.02
appearing,5090,7,7,10.28,0.02
protocol,5090,7,7,10.28,0.02
bottlenecks,5090,7,4,10.28,0.01
architectures,5090,7,4,10.28,0.01
recover,5090,7,7,10.28,0.02
species,5090,7,6,10.28,0.02
genotype,5090,7,3,10.28,0.01
interpreter,5090,7,7,10.28,0.02
teamwork,5090,7,6,10.28,0.02
bottleneck,5090,7,7,10.28,0.02
summarized,5090,7,6,10.28,0.02
foregoing,5090,7,6,10.28,0.02
worse,5090,7,7,10.28,0.02
execute,5090,7,7,10.28,0.02
multidimensional,5090,7,6,10.28,0.02
overhead,5090,7,3,10.28,0.01
contest,5090,7,7,10.28,0.02
teach,5090,7,7,10.28,0.02
pass,5090,7,7,10.28,0.02
standardize,5090,7,7,10.28,0.02
noise,5090,7,3,10.28,0.01
connects,5090,7,7,10.28,0.02
yourself,5090,7,6,10.28,0.02
publish,5090,7,7,10.28,0.02
borrow,5090,7,7,10.28,0.02
returning,5090,7,6,10.28,0.02
exceed,5090,7,7,10.28,0.02
talks,5090,7,5,10.28,0.01
fewer,5090,7,7,10.28,0.02
th,5090,7,7,10.28,0.02
pleasure,5090,7,5,10.28,0.01
foremost,5090,7,7,10.28,0.02
pinpoint,5090,7,7,10.28,0.02
variations,5090,7,7,10.28,0.02
probabilistic,5090,7,5,10.28,0.01
enhances,5090,7,6,10.28,0.02
ios,5090,7,7,10.28,0.02
driver,5090,7,7,10.28,0.02
demanding,5090,7,7,10.28,0.02
compressors,5090,7,1,10.28,0.0
facility,5090,7,5,10.28,0.01
netlogo,5090,7,1,10.28,0.0
median,5090,7,4,10.28,0.01
demonstrating,5090,7,7,10.28,0.02
gary,5090,7,7,10.28,0.02
sustain,5090,7,7,10.28,0.02
promoted,5090,7,7,10.28,0.02
hsu,5090,7,3,10.28,0.01
ahead,5090,7,7,10.28,0.02
superior,5090,7,7,10.28,0.02
knows,5090,7,7,10.28,0.02
assembled,5090,7,5,10.28,0.01
recommend,5090,7,7,10.28,0.02
bearing,5090,7,7,10.28,0.02
session,5090,7,7,10.28,0.02
keys,5090,7,7,10.28,0.02
coherence,5090,7,6,10.28,0.02
overviews,5090,7,7,10.28,0.02
chains,5090,7,6,10.28,0.02
fine,5090,7,7,10.28,0.02
fraction,5090,7,5,10.28,0.01
restoring,5090,7,4,10.28,0.01
clarification,5090,7,7,10.28,0.02
respective,5090,7,7,10.28,0.02
assistant,5090,7,6,10.28,0.02
mainstream,5090,7,7,10.28,0.02
rigid,5090,7,7,10.28,0.02
evolved,5090,7,7,10.28,0.02
evolutionary,5090,7,7,10.28,0.02
quarto,5090,7,1,10.28,0.0
bridge,5090,7,7,10.28,0.02
adaptive,5090,7,5,10.28,0.01
equivalent,5090,7,7,10.28,0.02
msf,5090,7,1,10.28,0.0
dress,5090,7,7,10.28,0.02
retailers,5090,7,5,10.28,0.01
possesses,5090,7,6,10.28,0.02
count,5090,7,7,10.28,0.02
alter,5090,7,7,10.28,0.02
mixture,5090,7,6,10.28,0.02
thermal,5090,7,1,10.28,0.0
analysed,5090,7,7,10.28,0.02
lanes,5090,7,1,10.28,0.0
cars,5090,7,6,10.28,0.02
encryption,5090,7,1,10.28,0.0
qualifying,5090,7,7,10.28,0.02
degrees,5090,7,7,10.28,0.02
vocational,5090,7,4,10.28,0.01
schmidt,5090,7,4,10.28,0.01
younger,5090,7,6,10.28,0.02
gains,5090,7,7,10.28,0.02
switch,5090,7,7,10.28,0.02
neutral,5090,7,7,10.28,0.02
notable,5090,7,7,10.28,0.02
autoregression,5090,7,4,10.28,0.01
dollar,5090,7,7,10.28,0.02
constrained,5090,7,7,10.28,0.02
americans,5090,7,5,10.28,0.01
des,5090,7,7,10.28,0.02
omitted,5090,7,5,10.28,0.01
autocorrelation,5090,7,3,10.28,0.01
excellent,5090,7,7,10.28,0.02
1930s,5090,7,7,10.28,0.02
sight,5090,7,7,10.28,0.02
grasp,5090,7,7,10.28,0.02
collateral,5090,7,3,10.28,0.01
rejection,5090,7,7,10.28,0.02
tremendous,5090,7,7,10.28,0.02
miss,5090,7,7,10.28,0.02
alive,5090,7,5,10.28,0.01
probabilities,5090,7,4,10.28,0.01
incorporating,5090,7,7,10.28,0.02
pursuing,5090,7,7,10.28,0.02
1978,5090,7,6,10.28,0.02
hall,5090,7,7,10.28,0.02
presume,5090,7,7,10.28,0.02
iran,5090,7,4,10.28,0.01
enhancement,5090,7,6,10.28,0.02
standing,5090,7,7,10.28,0.02
minute,5090,7,7,10.28,0.02
vertical,5090,7,7,10.28,0.02
47,5090,7,7,10.28,0.02
obstacle,5090,7,7,10.28,0.02
fx,5090,7,1,10.28,0.0
chooses,5090,7,6,10.28,0.02
varied,5090,7,6,10.28,0.02
till,5090,7,7,10.28,0.02
denoted,5090,7,5,10.28,0.01
hutton,5090,7,2,10.28,0.01
prime,5090,7,7,10.28,0.02
fail,5090,7,7,10.28,0.02
eric,5090,7,7,10.28,0.02
substitute,5090,7,7,10.28,0.02
competing,5090,7,7,10.28,0.02
intense,5090,7,7,10.28,0.02
wish,5090,7,7,10.28,0.02
mcdonald,5090,7,3,10.28,0.01
150,5090,7,7,10.28,0.02
causing,5090,7,6,10.28,0.02
repetitive,5090,7,7,10.28,0.02
recognizes,5090,7,7,10.28,0.02
launch,5090,7,7,10.28,0.02
tastes,5090,7,3,10.28,0.01
producer,5090,7,7,10.28,0.02
berg,5090,7,7,10.28,0.02
27,5090,7,7,10.28,0.02
1986,5090,7,4,10.28,0.01
certification,5090,7,4,10.28,0.01
relatives,5090,7,3,10.28,0.01
classen,5090,7,1,10.28,0.0
carree,5090,7,1,10.28,0.0
gils,5090,7,1,10.28,0.0
counterparts,5090,7,3,10.28,0.01
adjust,5090,7,7,10.28,0.02
appointment,5090,7,7,10.28,0.02
massis,5090,7,1,10.28,0.0
frattini,5090,7,1,10.28,0.0
pizzurno,5090,7,1,10.28,0.0
cassia,5090,7,1,10.28,0.0
prevalent,5090,7,5,10.28,0.01
1969,5090,7,5,10.28,0.01
restrict,5090,7,7,10.28,0.02
organisations,5090,7,6,10.28,0.02
australian,5090,7,3,10.28,0.01
clusters,5090,7,3,10.28,0.01
accomplishment,5090,7,6,10.28,0.02
abolition,5090,7,6,10.28,0.02
households,5090,7,4,10.28,0.01
omnivore,5090,7,1,10.28,0.0
peterson,5090,7,2,10.28,0.01
marx,5090,7,5,10.28,0.01
democracies,5090,7,4,10.28,0.01
goodwill,5090,7,4,10.28,0.01
taylor,5090,7,5,10.28,0.01
nine,5090,7,7,10.28,0.02
curve,5090,7,4,10.28,0.01
homo,5090,7,7,10.28,0.02
1954,5090,7,4,10.28,0.01
participated,5090,7,6,10.28,0.02
korea,5090,7,4,10.28,0.01
organisation,5090,7,7,10.28,0.02
actor,5090,7,7,10.28,0.02
aspire,5090,7,7,10.28,0.02
interpersonal,5090,7,5,10.28,0.01
bankrupts,5090,7,3,10.28,0.01
deny,5090,7,7,10.28,0.02
federalism,5090,7,4,10.28,0.01
resident,5090,7,7,10.28,0.02
disconfirmation,5090,7,1,10.28,0.0
classics,5090,7,7,10.28,0.02
historicism,5090,7,6,10.28,0.02
xxi,5090,7,7,10.28,0.02
phenomenology,5090,7,4,10.28,0.01
folklore,5090,7,2,10.28,0.01
censorship,5090,7,5,10.28,0.01
30s,5090,7,7,10.28,0.02
scarce,5090,7,7,10.28,0.02
holy,5090,7,2,10.28,0.01
repressive,5090,7,5,10.28,0.01
interrogation,5090,7,4,10.28,0.01
specializing,5090,7,7,10.28,0.02
clergy,5090,7,3,10.28,0.01
periphery,5090,7,5,10.28,0.01
greeks,5090,7,3,10.28,0.01
symposium,5090,7,1,10.28,0.0
defend,5090,7,7,10.28,0.02
belonged,5090,7,4,10.28,0.01
prison,5090,7,5,10.28,0.01
went,5090,7,7,10.28,0.02
costumes,5090,7,1,10.28,0.0
symbolic,5090,7,7,10.28,0.02
iconographic,5090,7,1,10.28,0.0
exclusion,5090,7,6,10.28,0.02
igor,5090,7,7,10.28,0.02
hobsbawm,5090,7,3,10.28,0.01
koznova,5090,7,1,10.28,0.0
weber,5090,7,6,10.28,0.02
adherents,5090,7,4,10.28,0.01
kremlin,5090,7,4,10.28,0.01
destalinization,5090,7,3,10.28,0.01
mentality,5090,7,7,10.28,0.02
insufficiently,5090,7,7,10.28,0.02
nineteenth,5090,7,5,10.28,0.01
deficiency,5090,7,6,10.28,0.02
suksun,5090,7,1,10.28,0.0
engaging,5090,7,7,10.28,0.02
history‚êù,5090,7,1,10.28,0.0
byzantine,5090,7,3,10.28,0.01
codification,5090,7,4,10.28,0.01
optics,5090,7,3,10.28,0.01
deviant,5090,7,1,10.28,0.0
speculation,5090,7,4,10.28,0.01
agitation,5090,7,5,10.28,0.01
statuses,5090,7,5,10.28,0.01
infringement,5090,7,6,10.28,0.02
napolskikh,5090,7,1,10.28,0.0
udmurt,5090,7,2,10.28,0.01
galkin,5090,7,5,10.28,0.01
postulates,5090,7,6,10.28,0.02
parliamentary,5090,7,3,10.28,0.01
legislators,5090,7,7,10.28,0.02
fraudulent,5090,7,4,10.28,0.01
disorders,5090,7,2,10.28,0.01
clinical,5090,7,1,10.28,0.0
absorption,5090,7,4,10.28,0.01
criminally,5090,7,6,10.28,0.02
deficiencies,5090,7,6,10.28,0.02
initiating,5090,7,4,10.28,0.01
dutch,5090,7,4,10.28,0.01
void,5090,7,7,10.28,0.02
host,5090,7,7,10.28,0.02
judiciary,5090,7,6,10.28,0.02
eurasia,5090,7,1,10.28,0.0
celac,5090,7,1,10.28,0.0
ÒÉæÒ,5090,7,4,10.28,0.01
∏∫æ≥,5090,7,3,10.28,0.01
proportionality,5090,7,5,10.28,0.01
criminology,5090,7,3,10.28,0.01
corrupt,5090,7,7,10.28,0.02
myself,5090,7,7,10.28,0.02
creditor,5090,7,7,10.28,0.02
199,5090,7,7,10.28,0.02
premium,5090,7,7,10.28,0.02
violates,5090,7,6,10.28,0.02
dilution,5090,7,1,10.28,0.0
underline,5090,7,7,10.28,0.02
amicable,5090,7,3,10.28,0.01
complaint,5090,7,7,10.28,0.02
incumbent,5090,7,3,10.28,0.01
pull,5090,7,7,10.28,0.02
farm,5090,7,5,10.28,0.01
shoppers,5090,7,2,10.28,0.01
barrow,5090,7,3,10.28,0.01
kpi,5090,7,3,10.28,0.01
customer‚ê,5090,7,5,10.28,0.01
carbone,5090,7,1,10.28,0.0
intermodal,5090,7,1,10.28,0.0
fleisher,5090,7,2,10.28,0.01
bensoussan,5090,7,2,10.28,0.01
alendvic,5090,7,1,10.28,0.0
cleavages,5090,7,4,10.28,0.01
ballot,5090,7,4,10.28,0.01
parliaments,5090,7,2,10.28,0.01
institutionalism,5090,7,4,10.28,0.01
taagepera,5090,7,1,10.28,0.0
subordination,5439,6,5,8.81,0.01
capacities,5439,6,6,8.81,0.02
freely,5439,6,6,8.81,0.02
employing,5439,6,6,8.81,0.02
incorporation,5439,6,5,8.81,0.01
regularly,5439,6,6,8.81,0.02
afford,5439,6,6,8.81,0.02
abundance,5439,6,5,8.81,0.01
idef0,5439,6,4,8.81,0.01
picked,5439,6,6,8.81,0.02
factual,5439,6,6,8.81,0.02
interoperability,5439,6,4,8.81,0.01
import,5439,6,6,8.81,0.02
adequately,5439,6,6,8.81,0.02
transitions,5439,6,5,8.81,0.01
harris,5439,6,6,8.81,0.02
realism,5439,6,4,8.81,0.01
php,5439,6,4,8.81,0.01
tips,5439,6,6,8.81,0.02
definitely,5439,6,6,8.81,0.02
simplest,5439,6,6,8.81,0.02
exposure,5439,6,6,8.81,0.02
polish,5439,6,5,8.81,0.01
saying,5439,6,6,8.81,0.02
deposit,5439,6,5,8.81,0.01
pictures,5439,6,6,8.81,0.02
appreciate,5439,6,6,8.81,0.02
html,5439,6,5,8.81,0.01
simplification,5439,6,6,8.81,0.02
layout,5439,6,6,8.81,0.02
publishing,5439,6,6,8.81,0.02
isolated,5439,6,6,8.81,0.02
automating,5439,6,3,8.81,0.01
converted,5439,6,5,8.81,0.01
sdk,5439,6,1,8.81,0.0
com,5439,6,6,8.81,0.02
asp,5439,6,6,8.81,0.02
datasets,5439,6,4,8.81,0.01
pick,5439,6,6,8.81,0.02
autoregressive,5439,6,5,8.81,0.01
convolutional,5439,6,2,8.81,0.01
iteration,5439,6,5,8.81,0.01
javascript,5439,6,6,8.81,0.02
distant,5439,6,6,8.81,0.02
manipulate,5439,6,6,8.81,0.02
incorporated,5439,6,6,8.81,0.02
sequential,5439,6,6,8.81,0.02
inherited,5439,6,6,8.81,0.02
leaving,5439,6,6,8.81,0.02
split,5439,6,6,8.81,0.02
emissions,5439,6,3,8.81,0.01
figured,5439,6,5,8.81,0.01
installation,5439,6,6,8.81,0.02
broadcasting,5439,6,4,8.81,0.01
frick,5439,6,3,8.81,0.01
hire,5439,6,6,8.81,0.02
proofs,5439,6,4,8.81,0.01
exemplified,5439,6,6,8.81,0.02
slowly,5439,6,6,8.81,0.02
technically,5439,6,6,8.81,0.02
connectivity,5439,6,5,8.81,0.01
dey,5439,6,2,8.81,0.01
sohn,5439,6,2,8.81,0.01
prototyping,5439,6,4,8.81,0.01
continuation,5439,6,6,8.81,0.02
targeting,5439,6,4,8.81,0.01
usable,5439,6,6,8.81,0.02
behaviors,5439,6,6,8.81,0.02
delve,5439,6,6,8.81,0.02
openblocks,5439,6,2,8.81,0.01
upcoming,5439,6,4,8.81,0.01
disclosed,5439,6,5,8.81,0.01
accelerate,5439,6,6,8.81,0.02
emerge,5439,6,6,8.81,0.02
scheduling,5439,6,6,8.81,0.02
remarkable,5439,6,6,8.81,0.02
balancing,5439,6,6,8.81,0.02
julian,5439,6,2,8.81,0.01
classifying,5439,6,6,8.81,0.02
evolve,5439,6,6,8.81,0.02
impossibility,5439,6,6,8.81,0.02
mistake,5439,6,6,8.81,0.02
descendant,5439,6,4,8.81,0.01
coursework,5439,6,3,8.81,0.01
peak,5439,6,6,8.81,0.02
decree,5439,6,6,8.81,0.02
density,5439,6,4,8.81,0.01
intervals,5439,6,4,8.81,0.01
merits,5439,6,4,8.81,0.01
stimulating,5439,6,5,8.81,0.01
enabling,5439,6,6,8.81,0.02
convincing,5439,6,6,8.81,0.02
als,5439,6,6,8.81,0.02
boost,5439,6,6,8.81,0.02
delays,5439,6,5,8.81,0.01
qualitatively,5439,6,6,8.81,0.02
fias,5439,6,1,8.81,0.0
dbms,5439,6,1,8.81,0.0
nosql,5439,6,1,8.81,0.0
clickhouse,5439,6,1,8.81,0.0
tabular,5439,6,1,8.81,0.0
edge,5439,6,6,8.81,0.02
aggregation,5439,6,5,8.81,0.01
compressed,5439,6,3,8.81,0.01
devised,5439,6,4,8.81,0.01
unify,5439,6,6,8.81,0.02
defeat,5439,6,5,8.81,0.01
sending,5439,6,6,8.81,0.02
imitate,5439,6,5,8.81,0.01
walls,5439,6,2,8.81,0.01
contours,5439,6,4,8.81,0.01
coupled,5439,6,3,8.81,0.01
tells,5439,6,5,8.81,0.01
schema,5439,6,5,8.81,0.01
disorder,5439,6,5,8.81,0.01
guilt,5439,6,6,8.81,0.02
disturbed,5439,6,6,8.81,0.02
psychiatrists,5439,6,2,8.81,0.01
patients,5439,6,2,8.81,0.01
severity,5439,6,6,8.81,0.02
obesity,5439,6,3,8.81,0.01
eeg,5439,6,1,8.81,0.0
ranging,5439,6,6,8.81,0.02
intent,5439,6,6,8.81,0.02
situational,5439,6,5,8.81,0.01
compilation,5439,6,6,8.81,0.02
43,5439,6,6,8.81,0.02
usability,5439,6,5,8.81,0.01
photographs,5439,6,4,8.81,0.01
interrelated,5439,6,6,8.81,0.02
incoming,5439,6,4,8.81,0.01
measurements,5439,6,5,8.81,0.01
routes,5439,6,4,8.81,0.01
hop,5439,6,6,8.81,0.02
stringent,5439,6,5,8.81,0.01
settle,5439,6,6,8.81,0.02
animals,5439,6,3,8.81,0.01
insects,5439,6,1,8.81,0.0
specifies,5439,6,6,8.81,0.02
visits,5439,6,5,8.81,0.01
displayed,5439,6,5,8.81,0.01
explorer,5439,6,4,8.81,0.01
promising,5439,6,6,8.81,0.02
auxiliary,5439,6,2,8.81,0.01
outliers,5439,6,5,8.81,0.01
evaluates,5439,6,6,8.81,0.02
bureaucratic,5439,6,6,8.81,0.02
polls,5439,6,4,8.81,0.01
hot,5439,6,6,8.81,0.02
formally,5439,6,6,8.81,0.02
formulates,5439,6,6,8.81,0.02
recognizable,5439,6,5,8.81,0.01
portable,5439,6,5,8.81,0.01
textual,5439,6,6,8.81,0.02
earliest,5439,6,5,8.81,0.01
metadata,5439,6,1,8.81,0.0
quiet,5439,6,6,8.81,0.02
facilitates,5439,6,6,8.81,0.02
copying,5439,6,5,8.81,0.01
1975,5439,6,5,8.81,0.01
optimum,5439,6,5,8.81,0.01
ought,5439,6,6,8.81,0.02
told,5439,6,6,8.81,0.02
dispersed,5439,6,4,8.81,0.01
utilization,5439,6,5,8.81,0.01
launched,5439,6,6,8.81,0.02
altered,5439,6,5,8.81,0.01
manifestations,5439,6,6,8.81,0.02
indoor,5439,6,2,8.81,0.01
hvac,5439,6,1,8.81,0.0
li,5439,6,6,8.81,0.02
mpc,5439,6,1,8.81,0.0
manipulations,5439,6,5,8.81,0.01
capitals,5439,6,5,8.81,0.01
indications,5439,6,4,8.81,0.01
coloring,5439,6,1,8.81,0.0
stopped,5439,6,6,8.81,0.02
arose,5439,6,6,8.81,0.02
extends,5439,6,6,8.81,0.02
unsolved,5439,6,6,8.81,0.02
altman,5439,6,3,8.81,0.01
1977,5439,6,5,8.81,0.01
graduates,5439,6,4,8.81,0.01
racial,5439,6,4,8.81,0.01
entrants,5439,6,5,8.81,0.01
applicants,5439,6,4,8.81,0.01
endogenous,5439,6,3,8.81,0.01
